trial	count_a	lat_a	count_m	lat_m	scorer
11149.20130329.1.1	1	172	1	33	RC
11149.20130329.1.2	1	228	1	200	RC
11149.20130329.1.3	-1	-1	-1	-1	RC
11149.20130329.1.4	2	157	0	183	RC
11149.20130329.1.5	2	127	2	117	RC
11149.20130329.1.6	-1	-1	-1	-1	RC
11149.20130329.1.7	-1	-1	-1	-1	RC
11149.20130329.1.8	1	336	1	100	RC
11149.20130329.1.9	1	267	1	250	RC
11149.20130329.1.10	1	181	1	167	RC
11149.20130329.1.11	1	135	1	117	RC
11149.20130329.1.12	-1	-1	-1	-1	RC
11149.20130329.1.13	1	644	1	600	RC
11149.20130329.1.14	1	314	1	283	RC
11149.20130329.1.15	1	317	1	300	RC
11149.20130329.1.16	1	415	1	367	RC
11149.20130329.1.17	1	336	1	317	RC
11149.20130329.1.18	1	671	1	667	RC
11149.20130329.1.19	1	377	1	350	RC
11149.20130329.1.20	1	319	1	300	RC
11149.20130329.1.21	1	722	1	700	RC
11149.20130329.1.22	1	297	1	217	RC
11149.20130329.1.23	-1	-1	-1	-1	RC
11149.20130329.1.24	-1	-1	-1	-1	RC
11149.20130329.1.25	-1	-1	-1	-1	RC
11149.20130329.1.26	1	420	1	400	RC
11149.20130329.1.27	1	344	1	300	RC
11149.20130329.1.28	1	213	1	167	RC
11149.20130329.1.29	1	912	-1	-1	RC
11149.20130329.1.30	1	700	1	683	RC
11149.20130329.1.31	1	329	-1	-1	RC
11149.20130329.1.32	1	272	1	250	RC
11149.20130329.1.33	1	312	1	300	RC
11149.20130329.1.34	1	282	1	167	RC
11149.20130329.1.35	1	639	1	600	RC
11149.20130329.1.36	1	372	1	350	RC
11149.20130329.1.37	1	272	1	250	RC
11149.20130329.1.38	1	211	1	200	RC
11149.20130329.1.39	1	334	1	333	RC
11149.20130329.1.40	1	262	1	250	RC
11149.20130329.1.41	1	211	1	250	RC
11149.20130329.1.42	1	275	1	267	RC
11149.20130329.1.43	-1	-1	-1	-1	RC
11149.20130329.1.44	-1	-1	-1	-1	RC
11149.20130329.1.45	-1	-1	-1	-1	RC
11149.20130329.1.46	-1	-1	-1	-1	RC
11149.20130329.1.47	1	228	1	217	RC
11149.20130329.1.48	1	260	1	267	RC
11148.20130321.1.1	1	484	1	500	JP
11148.20130321.1.2	2	149	2	133	JP
11148.20130321.1.3	1	322	1	317	JP
11148.20130321.1.4	1	270	1	267	JP
11148.20130321.1.5	1	218	1	217	JP
11148.20130321.1.6	1	334	1	333	JP
11148.20130321.1.7	2	174	0	200	JP
11148.20130321.1.8	1	270	1	267	JP
11148.20130321.1.9	1	243	1	250	JP
11148.20130321.1.10	1	213	1	217	JP
11148.20130321.1.11	1	238	1	233	JP
11148.20130321.1.12	2	164	2	150	JP
11148.20130321.1.13	2	212	2	217	JP
11148.20130321.1.14	2	176	2	167	JP
11148.20130321.1.15	1	218	1	233	JP
11148.20130321.1.16	2	159	-1	-1	JP
11148.20130321.1.17	2	162	2	150	JP
11148.20130321.1.18	1	172	1	167	JP
11148.20130321.1.19	2	167	2	167	JP
11148.20130321.1.20	1	228	1	217	JP
11148.20130321.1.21	1	334	1	350	JP
11148.20130321.1.22	1	238	1	233	JP
11148.20130321.1.23	2	130	2	117	JP
11148.20130321.1.24	1	248	1	233	JP
11148.20130321.1.25	2	142	2	133	JP
11148.20130321.1.26	2	174	2	200	JP
11148.20130321.1.27	1	211	1	233	JP
11148.20130321.1.28	1	260	1	267	JP
11148.20130321.1.29	2	174	2	150	JP
11148.20130321.1.30	2	176	0	167	JP
11148.20130321.1.31	2	149	0	133	JP
11148.20130321.1.32	2	125	2	133	JP
11148.20130321.1.33	1	223	1	217	JP
11148.20130321.1.34	2	169	2	167	JP
11148.20130321.1.35	2	154	2	133	JP
11148.20130321.1.36	2	137	2	133	JP
11148.20130321.1.37	2	186	2	183	JP
11148.20130321.1.38	2	196	2	183	JP
11148.20130321.1.39	2	147	2	133	JP
11148.20130321.1.40	1	221	1	217	JP
11148.20130321.1.41	1	349	-1	-1	JP
11148.20130321.1.42	2	152	2	167	JP
11148.20130321.1.43	1	237	1	250	JP
11148.20130321.1.44	2	169	2	167	JP
11148.20130321.1.45	1	277	1	283	JP
11148.20130321.1.46	2	258	1	267	JP
11148.20130321.1.47	2	122	2	117	JP
11148.20130321.1.48	1	255	1	267	JP
11147.20130312.1.1	1	444	1	333	LR
11147.20130312.1.2	-1	-1	-1	-1	LR
11147.20130312.1.3	-1	-1	-1	-1	LR
11147.20130312.1.4	1	518	1	517	LR
11147.20130312.1.5	1	297	1	250	LR
11147.20130312.1.6	1	299	1	300	LR
11147.20130312.1.7	1	700	1	317	LR
11147.20130312.1.8	2	253	2	233	LR
11147.20130312.1.9	1	317	1	317	LR
11147.20130312.1.10	1	249	1	217	LR
11147.20130312.1.11	-1	-1	-1	-1	LR
11147.20130312.1.12	1	243	1	250	LR
11147.20130312.1.13	1	336	1	350	LR
11147.20130312.1.14	1	203	1	217	LR
11147.20130312.1.15	1	189	1	167	LR
11147.20130312.1.16	1	292	1	200	LR
11147.20130312.1.17	1	331	1	317	LR
11147.20130312.1.18	1	492	1	483	LR
11147.20130312.1.19	1	218	1	217	LR
11147.20130312.1.20	-1	-1	1	383	LR
11147.20130312.1.21	1	267	1	267	LR
11147.20130312.1.22	1	213	1	217	LR
11147.20130312.1.23	2	132	2	133	LR
11147.20130312.1.24	1	432	1	433	LR
11147.20130312.1.25	1	218	1	217	LR
11147.20130312.1.26	1	260	1	267	LR
11147.20130312.1.27	1	258	1	233	LR
11147.20130312.1.28	1	253	1	250	LR
11147.20130312.1.29	2	223	2	217	LR
11147.20130312.1.30	1	260	1	267	LR
11147.20130312.1.31	1	204	1	217	LR
11147.20130312.1.32	1	235	1	233	LR
11147.20130312.1.33	1	199	1	200	LR
11147.20130312.1.34	1	238	1	233	LR
11147.20130312.1.35	1	680	1	667	LR
11147.20130312.1.36	1	474	1	483	LR
11147.20130312.1.37	1	206	1	200	LR
11147.20130312.1.38	1	199	1	183	LR
11147.20130312.1.39	1	248	1	233	LR
11147.20130312.1.40	1	238	1	233	LR
11147.20130312.1.41	1	334	1	350	LR
11147.20130312.1.42	1	189	1	183	LR
11147.20130312.1.43	1	201	1	200	LR
11147.20130312.1.44	2	122	2	117	LR
11147.20130312.1.45	1	526	1	500	LR
11147.20130312.1.46	1	240	1	233	LR
11147.20130312.1.47	1	226	1	217	LR
11147.20130312.1.48	-1	-1	-1	-1	LR
11146.20130313.1.1	1	503	1	417	LR
11146.20130313.1.2	0	872	0	867	LR
11146.20130313.1.3	2	385	2	383	LR
11146.20130313.1.4	2	127	0	133	LR
11146.20130313.1.5	2	125	2	117	LR
11146.20130313.1.6	2	125	2	117	LR
11146.20130313.1.7	1	403	1	400	LR
11146.20130313.1.8	1	604	1	617	LR
11146.20130313.1.9	1	427	1	450	LR
11146.20130313.1.10	2	144	2	133	LR
11146.20130313.1.11	2	142	0	133	LR
11146.20130313.1.12	1	405	1	433	LR
11146.20130313.1.13	1	464	-1	-1	LR
11146.20130313.1.14	-1	-1	-1	-1	LR
11146.20130313.1.15	2	147	2	83	LR
11146.20130313.1.16	1	262	1	250	LR
11146.20130313.1.17	1	380	1	400	LR
11146.20130313.1.18	2	154	2	150	LR
11146.20130313.1.19	1	383	1	383	LR
11146.20130313.1.20	1	368	1	367	LR
11146.20130313.1.21	-1	-1	0	350	LR
11146.20130313.1.22	1	425	1	433	LR
11146.20130313.1.23	2	117	0	133	LR
11146.20130313.1.24	2	162	0	167	LR
11146.20130313.1.25	2	117	2	83	LR
11146.20130313.1.26	2	204	-1	-1	LR
11146.20130313.1.27	1	400	1	400	LR
11146.20130313.1.28	2	189	2	167	LR
11146.20130313.1.29	-1	-1	1	167	LR
11146.20130313.1.30	2	147	0	133	LR
11146.20130313.1.31	1	349	1	367	LR
11146.20130313.1.32	-1	-1	-1	-1	LR
11146.20130313.1.33	2	132	2	100	LR
11146.20130313.1.34	-1	-1	1	400	LR
11146.20130313.1.35	1	409	-1	-1	LR
11146.20130313.1.36	1	336	1	350	LR
11146.20130313.1.37	-1	-1	0	367	LR
