trial	count_a	lat_a	count_m	lat_m	scorer
11152.20130501.2.31	1	461	1	467	RI
11152.20130501.2.32	1	449	2	1283	RI
11152.20130501.2.33	1	401	1	417	RI
11152.20130501.2.34	1	417	1	417	RI
11152.20130501.2.35	1	447	1	400	RI
11152.20130501.2.36	2	613	2	633	RI
11152.20130501.2.37	1	441	1	450	RI
11152.20130501.2.38	-1	-1	-1	-1	RI
11152.20130501.2.39	1	578	1	600	RI
11152.20130501.2.40	1	453	1	467	RI
11152.20130501.2.41	1	401	1	383	RI
11152.20130501.2.42	1	174	1	200	RI
11152.20130501.1.1	1	453	1	367	RI
11152.20130501.1.2	1	385	1	417	RI
11152.20130501.1.3	1	495	1	517	RI
11152.20130501.1.4	1	585	1	550	RI
11152.20130501.1.5	1	785	1	800	RI
11152.20130501.1.6	1	741	1	767	RI
11152.20130501.1.7	1	825	1	833	RI
11152.20130501.1.8	-1	-1	-1	-1	RI
11152.20130501.1.9	1	593	1	617	RI
11152.20130501.1.10	1	433	1	400	RI
11152.20130501.1.11	1	439	1	817	RI
11152.20130501.1.12	1	501	1	483	RI
11152.20130501.1.13	1	377	1	383	RI
11152.20130501.1.14	1	381	1	383	RI
11152.20130501.1.15	1	453	1	467	RI
11152.20130501.1.16	-1	-1	2	83	RI
11152.20130501.1.17	1	425	1	450	RI
11152.20130501.1.18	1	437	1	433	RI
11152.20130501.1.19	1	461	1	483	RI
11152.20130501.1.20	1	478	1	500	RI
11152.20130501.1.21	1	498	1	517	RI
11152.20130501.1.22	1	521	1	517	RI
11152.20130501.1.23	1	453	1	467	RI
11152.20130501.1.24	1	533	1	550	RI
11152.20130501.1.25	1	457	1	467	RI
11152.20130501.1.26	1	421	1	433	RI
11152.20130501.1.27	1	561	1	583	RI
11152.20130501.1.28	1	405	1	433	RI
11152.20130501.1.29	1	429	1	450	RI
11152.20130501.1.30	1	425	1	450	RI
11152.20130501.1.31	1	457	1	483	RI
11152.20130501.1.32	1	513	1	533	RI
11152.20130501.1.33	-1	-1	-1	-1	RI
11152.20130501.1.34	2	157	-1	-1	RI
11152.20130501.1.35	1	387	1	400	RI
11152.20130501.1.36	2	357	2	400	RI
11152.20130501.1.37	1	469	1	467	RI
11152.20130501.1.38	1	477	1	500	RI
11152.20130501.1.39	1	425	1	433	RI
11152.20130501.1.40	1	501	1	517	RI
11152.20130501.1.41	1	533	1	550	RI
11152.20130501.1.42	1	553	1	567	RI
11149.20130403.4.1	1	333	1	250	LR
11149.20130403.4.2	1	366	1	400	LR
11149.20130403.4.3	1	305	-1	-1	LR
11149.20130403.4.4	1	340	1	367	LR
11149.20130403.4.5	-1	-1	-1	-1	LR
11149.20130403.4.6	1	305	-1	-1	LR
11149.20130403.4.7	1	297	1	333	LR
11149.20130403.4.8	1	285	1	317	LR
11149.20130403.4.9	1	329	1	350	LR
11149.20130403.4.10	1	317	1	350	LR
11149.20130403.4.11	1	349	1	367	LR
11149.20130403.4.12	1	325	1	367	LR
11149.20130403.4.13	1	281	1	317	LR
11149.20130403.4.14	1	319	1	350	LR
11149.20130403.4.15	1	333	1	367	LR
11149.20130403.4.16	1	325	1	333	LR
11149.20130403.4.17	1	328	-1	-1	LR
11149.20130403.4.18	1	353	1	383	LR
11149.20130403.4.19	1	308	1	333	LR
11149.20130403.4.20	-1	-1	-1	-1	LR
11149.20130403.4.21	1	320	1	333	LR
11149.20130403.4.22	-1	-1	0	117	LR
11149.20130403.4.23	1	345	1	367	LR
11149.20130403.4.24	-1	-1	1	333	LR
11149.20130403.4.25	1	325	1	367	LR
11149.20130403.4.26	1	367	1	383	LR
11149.20130403.4.27	-1	-1	-1	-1	LR
11149.20130403.4.28	1	346	-1	-1	LR
11149.20130403.4.29	-1	-1	-1	-1	LR
11149.20130403.4.30	-1	-1	-1	-1	LR
11149.20130403.4.31	1	349	1	383	LR
11149.20130403.4.32	1	348	1	367	LR
11149.20130403.4.33	-1	-1	-1	-1	LR
11149.20130403.4.34	-1	-1	-1	-1	LR
11149.20130403.4.35	1	362	1	400	LR
11149.20130403.4.36	1	321	1	350	LR
11149.20130403.4.37	1	317	-1	-1	LR
11149.20130403.4.38	1	357	-1	-1	LR
11149.20130403.4.39	1	305	-1	-1	LR
11149.20130403.4.40	1	313	1	350	LR
11149.20130403.4.41	1	310	1	350	LR
11149.20130403.4.42	1	303	1	333	LR
*11149.20130403.3.1	-1	-1	-1	-1	LR
*11149.20130403.3.2	-1	-1	1	317	LR
*11149.20130403.3.3	-1	-1	1	333	LR
*11149.20130403.3.4	-1	-1	-1	-1	LR
*11149.20130403.3.5	-1	-1	-1	-1	LR
*11149.20130403.3.6	-1	-1	1	317	LR
*11149.20130403.3.7	-1	-1	-1	-1	LR
*11149.20130403.3.8	-1	-1	1	350	LR
*11149.20130403.3.9	-1	-1	1	350	LR
*11149.20130403.3.10	-1	-1	1	333	LR
*11149.20130403.3.11	-1	-1	1	350	LR
*11149.20130403.3.12	-1	-1	1	367	LR
*11149.20130403.3.13	-1	-1	-1	-1	LR
*11149.20130403.3.14	-1	-1	1	317	LR
*11149.20130403.3.15	-1	-1	1	333	LR
*11149.20130403.3.16	-1	-1	1	350	LR
*11149.20130403.3.17	-1	-1	1	383	LR
*11149.20130403.3.18	-1	-1	1	650	LR
*11149.20130403.3.19	-1	-1	1	333	LR
*11149.20130403.3.20	-1	-1	1	350	LR
*11149.20130403.3.21	-1	-1	1	317	LR
*11149.20130403.3.22	-1	-1	-1	-1	LR
*11149.20130403.3.23	-1	-1	1	350	LR
*11149.20130403.3.24	-1	-1	1	350	LR
*11149.20130403.3.25	-1	-1	1	517	LR
*11149.20130403.3.26	-1	-1	-1	-1	LR
*11149.20130403.3.27	-1	-1	1	333	LR
*11149.20130403.3.28	-1	-1	1	333	LR
*11149.20130403.3.29	-1	-1	1	333	LR
*11149.20130403.3.30	-1	-1	1	350	LR
*11149.20130403.3.31	-1	-1	1	350	LR
*11149.20130403.3.32	-1	-1	1	200	LR
*11149.20130403.3.33	-1	-1	1	300	LR
*11149.20130403.3.34	-1	-1	-1	-1	LR
*11149.20130403.3.35	-1	-1	-1	-1	LR
*11149.20130403.3.36	-1	-1	-1	-1	LR
*11149.20130403.3.37	-1	-1	-1	-1	LR
