trial	count_a	lat_a	count_m	lat_m	scorer
11156.20130423.1.16	1	507	1	517	RI
11156.20130423.1.17	1	476	1	500	RI
11156.20130423.1.18	1	484	1	483	RI
11156.20130423.1.19	1	472	1	483	RI
11156.20130423.1.20	1	424	1	433	RI
11156.20130423.1.21	1	468	1	467	RI
11156.20130423.1.22	-1	-1	-1	-1	RI
11156.20130423.1.23	1	472	1	483	RI
11156.20130423.1.24	1	460	1	467	RI
11156.20130423.1.25	1	424	1	433	RI
11156.20130423.1.26	1	448	1	467	RI
11156.20130423.1.27	1	397	1	400	RI
11156.20130423.1.28	1	397	1	417	RI
11156.20130423.1.29	1	472	1	467	RI
11156.20130423.1.30	1	523	1	533	RI
11156.20130423.1.31	1	457	1	467	RI
11156.20130423.1.32	1	492	1	500	RI
11156.20130423.1.33	1	445	1	450	RI
11156.20130423.1.34	1	345	1	317	RI
11156.20130423.1.35	1	489	1	417	RI
11156.20130423.1.36	1	429	1	417	RI
11156.20130423.1.37	1	452	1	450	RI
11156.20130423.1.38	1	515	1	517	RI
11156.20130423.1.39	1	488	1	500	RI
11156.20130423.1.40	1	397	1	400	RI
11156.20130423.1.41	1	389	1	400	RI
11156.20130423.1.42	1	569	1	550	RI
11156.20130423.1.43	1	417	1	417	RI
11156.20130423.1.44	1	497	1	500	RI
11156.20130423.1.45	1	441	1	433	RI
11156.20130423.1.46	1	701	1	683	RI
11156.20130423.1.47	1	557	1	550	RI
11156.20130423.1.48	1	469	1	417	RI
11156.20130423.1.49	-1	-1	1	483	RI
11156.20130423.1.50	1	529	1	483	RI
11156.20130423.1.51	-1	-1	1	550	RI
11156.20130423.1.52	1	457	1	450	RI
11156.20130423.1.53	1	381	1	350	RI
11156.20130423.1.54	1	504	1	517	RI
11156.20130423.1.55	1	448	1	367	RI
11156.20130423.1.56	1	401	1	383	RI
11156.20130423.1.57	1	484	1	483	RI
11156.20130423.1.58	1	476	1	500	RI
11156.20130423.1.59	1	369	1	383	RI
11156.20130423.1.60	-1	-1	-1	-1	RI
11152.20130412.2.1	1	416	1	283	SC
11152.20130412.2.2	1	357	1	367	SC
11152.20130412.2.3	1	357	1	367	SC
11152.20130412.2.4	1	488	1	483	SC
11152.20130412.2.5	1	514	1	517	SC
11152.20130412.2.6	1	409	1	417	SC
11152.20130412.2.7	1	361	1	367	SC
11152.20130412.2.8	1	405	1	400	SC
11152.20130412.2.9	1	369	1	350	SC
11152.20130412.2.10	1	381	1	367	SC
11152.20130412.2.11	1	401	1	417	SC
11152.20130412.2.12	2	274	2	283	SC
11152.20130412.2.13	1	385	1	383	SC
